Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
ML_1__28__5,ML_1__28,1.0,2.0,2.0,3.0,,4.0,4.0,4.0,,5.0,7.0,7.0,,10.0,10.0,,3.0,4.0,,3
ML_2__29__5,ML_2__29,2.0,4.0,4.0,4.0,,7.0,9.0,8.0,,7.0,7.0,7.0,,10.0,10.0,,3.0,3.0,,3
ML_3__30__5,ML_3__30,2.0,4.0,5.0,5.0,,6.0,6.0,6.0,,6.0,6.0,6.0,,8.0,8.0,,7.0,7.0,,3
ML_4__31__5,ML_4__31,2.0,5.0,5.0,5.0,,9.0,9.0,8.0,,9.0,8.0,8.0,,7.0,8.0,,1.0,1.0,,3
ML_5__32__5,ML_5__32,2.0,2.0,2.0,3.0,,8.0,8.0,8.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,2.0,,3
ML_6__33__5,ML_6__33,1.0,5.0,4.0,4.0,,9.0,9.0,9.0,,10.0,10.0,10.0,,7.0,6.0,,10.0,10.0,,3
SE911__69__5,SE911__69,1.0,1.0,1.0,1.0,,10.0,8.0,9.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
MH69__70__5,MH69__70,1.0,6.0,6.0,5.0,,10.0,7.0,7.0,,8.0,7.0,8.0,,1.0,1.0,,1.0,2.0,,3
SK1__71__5,SK1__71,1.0,2.0,2.0,2.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,7.0,7.0,,8.0,8.0,,3
TCB94__72__5,TCB94__72,2.0,3.0,3.0,3.0,,10.0,8.0,7.0,,10.0,9.0,8.0,,5.0,8.0,,5.0,7.0,,3
CH86__73__5,CH86__73,1.0,3.0,3.0,3.0,,10.0,10.0,9.0,,10.0,10.0,10.0,,5.0,6.0,,5.0,6.0,,3
TN_1__232__5,TN_1__232,1.0,5.0,5.0,5.0,,8.0,10.0,10.0,,10.0,7.0,10.0,,1.0,1.0,,1.0,1.0,,3
ML_1__28__6,ML_1__28,2.0,2.0,3.0,5.0,,7.0,10.0,10.0,,10.0,10.0,9.0,,10.0,10.0,,1.0,1.0,,3
ML_2__29__6,ML_2__29,2.0,5.0,5.0,4.0,,6.0,7.0,6.0,,7.0,7.0,7.0,,6.0,7.0,,6.0,6.0,,3
ML_3__30__6,ML_3__30,2.0,5.0,5.0,5.0,,8.0,8.0,8.0,,8.0,8.0,8.0,,10.0,10.0,,1.0,1.0,,3
ML_4__31__6,ML_4__31,2.0,4.0,4.0,5.0,,7.0,10.0,9.0,,6.0,6.0,7.0,,5.0,4.0,,1.0,1.0,,3
ML_5__32__6,ML_5__32,2.0,1.0,1.0,2.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,2.0,,3
SE911__69__6,SE911__69,2.0,1.0,1.0,1.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
MH69__70__6,MH69__70,2.0,4.0,4.0,4.0,,8.0,7.0,7.0,,9.0,8.0,8.0,,1.0,1.0,,1.0,2.0,,3
SK1__71__6,SK1__71,1.0,2.0,2.0,2.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,7.0,7.0,,8.0,8.0,,3
TCB94__72__6,TCB94__72,2.0,3.0,3.0,3.0,,10.0,7.0,8.0,,10.0,8.0,8.0,,5.0,5.0,,5.0,7.0,,3
CH86__73__6,CH86__73,1.0,5.0,6.0,6.0,,7.0,7.0,7.0,,9.0,10.0,10.0,,5.0,6.0,,2.0,3.0,,3
TN_1__232__6,TN_1__232,1.0,4.0,5.0,5.0,,8.0,10.0,10.0,,8.0,8.0,8.0,,1.0,1.0,,1.0,1.0,,3
ML_1__28__7,ML_1__28,1.0,2.0,4.0,3.0,,5.0,8.0,7.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,10.0,,3
ML_2__29__7,ML_2__29,2.0,4.0,3.0,4.0,,10.0,10.0,10.0,,10.0,10.0,10.0,,7.0,8.0,,4.0,4.0,,3
ML_3__30__7,ML_3__30,2.0,3.0,5.0,3.0,,9.0,9.0,9.0,,9.0,8.0,9.0,,10.0,10.0,,10.0,10.0,,3
ML_4__31__7,ML_4__31,1.0,5.0,2.0,4.0,,6.0,7.0,7.0,,5.0,8.0,8.0,,3.0,5.0,,7.0,8.0,,3
ML_5__32__7,ML_5__32,1.0,2.0,6.0,2.0,,8.0,8.0,9.0,,10.0,10.0,10.0,,10.0,10.0,,10.0,7.0,,3
